pet,color,sex,age,size,want_pet,want_sex,want_age,want_size,want_color,recommend
dog,Brown and white,male,2 years,medium,cat,female,1 months,large,Black,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,large,Black and white,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,large,Tri-color,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,large,White,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,large,White and gray,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,large,White and orange,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,medium,Black,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,medium,Black and white,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,medium,Tri-color,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,medium,White,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,medium,White and gray,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,medium,White and orange,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,small,Black,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,small,Black and white,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,small,Tri-color,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,small,White,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,small,White and gray,no
dog,Brown and white,male,2 years,medium,cat,female,1 months,small,White and orange,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,large,Black,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,large,Black and white,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,large,Tri-color,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,large,White,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,large,White and gray,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,large,White and orange,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,medium,Black,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,medium,Black and white,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,medium,Tri-color,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,medium,White,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,medium,White and gray,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,medium,White and orange,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,small,Black,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,small,Black and white,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,small,Tri-color,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,small,White,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,small,White and gray,no
dog,Brown and white,male,2 years,medium,cat,female,1 years,small,White and orange,no
dog,Brown and white,male,2 years,medium,cat,female,2 months,large,Black,no
dog,Brown and white,male,2 years,medium,cat,female,2 months,large,Black and white,no
dog,Brown and white,male,2 years,medium,cat,female,2 months,large,Tri-color,no
dog,Brown and white,male,2 years,medium,cat,female,2 months,large,White,no
dog,Brown and white,male,2 years,medium,cat,female,2 months,large,White and gray,no
dog,Brown and white,male,2 years,medium,cat,female,2 months,large,White and orange,no
dog,Brown and white,male,2 years,medium,cat,female,2 months,medium,Black,no
dog,Brown and white,male,2 years,medium,cat,female,2 months,medium,Black and white,no
dog,Brown and white,male,2 years,medium,cat,female,2 months,medium,Tri-color,no
dog,Brown and white,male,2 years,medium,cat,female,2 months,medium,White,no
