want_pet,want_sex,want_age,want_size,want_color
cat,female,1 months,large,Black
cat,female,1 months,large,Black and white
cat,female,1 months,large,Tri-color
cat,female,1 months,large,White
cat,female,1 months,large,White and gray
cat,female,1 months,large,White and orange
cat,female,1 months,medium,Black
cat,female,1 months,medium,Black and white
cat,female,1 months,medium,Tri-color
cat,female,1 months,medium,White
cat,female,1 months,medium,White and gray
cat,female,1 months,medium,White and orange
cat,female,1 months,small,Black
cat,female,1 months,small,Black and white
cat,female,1 months,small,Tri-color
cat,female,1 months,small,White
cat,female,1 months,small,White and gray
cat,female,1 months,small,White and orange
cat,female,1 years,large,Black
cat,female,1 years,large,Black and white
cat,female,1 years,large,Tri-color
cat,female,1 years,large,White
cat,female,1 years,large,White and gray
cat,female,1 years,large,White and orange
cat,female,1 years,medium,Black
cat,female,1 years,medium,Black and white
cat,female,1 years,medium,Tri-color
cat,female,1 years,medium,White
cat,female,1 years,medium,White and gray
cat,female,1 years,medium,White and orange
cat,female,1 years,small,Black
cat,female,1 years,small,Black and white
cat,female,1 years,small,Tri-color
cat,female,1 years,small,White
cat,female,1 years,small,White and gray
cat,female,1 years,small,White and orange
cat,female,2 months,large,Black
cat,female,2 months,large,Black and white
cat,female,2 months,large,Tri-color
cat,female,2 months,large,White
cat,female,2 months,large,White and gray
cat,female,2 months,large,White and orange
cat,female,2 months,medium,Black
cat,female,2 months,medium,Black and white
cat,female,2 months,medium,Tri-color
cat,female,2 months,medium,White
cat,female,2 months,medium,White and gray
cat,female,2 months,medium,White and orange
cat,female,2 months,small,Black
cat,female,2 months,small,Black and white
cat,female,2 months,small,Tri-color
cat,female,2 months,small,White
cat,female,2 months,small,White and gray
cat,female,2 months,small,White and orange
cat,female,2 years,large,Black
cat,female,2 years,large,Black and white
cat,female,2 years,large,Tri-color
cat,female,2 years,large,White
cat,female,2 years,large,White and gray
cat,female,2 years,large,White and orange
cat,female,2 years,medium,Black
cat,female,2 years,medium,Black and white
cat,female,2 years,medium,Tri-color
cat,female,2 years,medium,White
cat,female,2 years,medium,White and gray
cat,female,2 years,medium,White and orange
cat,female,2 years,small,Black
cat,female,2 years,small,Black and white
